"","Country.Code","Country.Name","Region","Year","Fertility.Rate","LifeExpectancy1960"
"1","ABW","Aruba","The Americas",1960,4.82,65.5693658536586
"2","AFG","Afghanistan","Asia",1960,7.45,32.328512195122
"3","AGO","Angola","Africa",1960,7.379,32.9848292682927
"4","ALB","Albania","Europe",1960,6.186,62.2543658536585
"5","ARE","United Arab Emirates","Middle East",1960,6.928,52.2432195121951
"6","ARG","Argentina","The Americas",1960,3.109,65.2155365853659
"7","ARM","Armenia","Asia",1960,4.55,65.8634634146342
"8","ATG","Antigua and Barbuda","The Americas",1960,4.425,61.7827317073171
"9","AUS","Australia","Oceania",1960,3.453,70.8170731707317
"10","AUT","Austria","Europe",1960,2.69,68.5856097560976
"11","AZE","Azerbaijan","Asia",1960,5.571,60.836243902439
"12","BDI","Burundi","Africa",1960,6.953,41.2360487804878
"13","BEL","Belgium","Europe",1960,2.54,69.7019512195122
"14","BEN","Benin","Africa",1960,6.282,37.2782682926829
"15","BFA","Burkina Faso","Africa",1960,6.291,34.4779024390244
"16","BGD","Bangladesh","Asia",1960,6.725,45.8293170731707
"17","BGR","Bulgaria","Europe",1960,2.31,69.2475609756098
"18","BHR","Bahrain","Middle East",1960,7.09,52.0893658536585
"19","BHS","Bahamas, The","The Americas",1960,4.495,62.7290487804878
"20","BIH","Bosnia and Herzegovina","Europe",1960,3.77,60.2762195121951
"21","BLR","Belarus","Europe",1960,2.67,67.7080975609756
"22","BLZ","Belize","The Americas",1960,6.5,59.9613658536585
"23","BOL","Bolivia","The Americas",1960,6.7,42.1183170731707
"24","BRA","Brazil","The Americas",1960,6.21,54.2054634146342
"25","BRB","Barbados","The Americas",1960,4.333,60.7380487804878
"26","BRN","Brunei Darussalam","Asia",1960,6.487,62.5003658536585
"27","BTN","Bhutan","Asia",1960,6.67,32.3593658536585
"28","BWA","Botswana","Africa",1960,6.615,50.5477317073171
"29","CAF","Central African Republic","Africa",1960,5.84,36.4826341463415
"30","CAN","Canada","The Americas",1960,3.811,71.1331707317073
"31","CHE","Switzerland","Europe",1960,2.44,71.3134146341463
"32","CHL","Chile","The Americas",1960,5.113,57.4582926829268
"33","CHN","China","Asia",1960,5.758,43.4658048780488
"34","CIV","Cote d'Ivoire","Africa",1960,7.351,36.8724146341463
"35","CMR","Cameroon","Africa",1960,5.647,41.523756097561
"36","COD","Congo, Dem. Rep.","Africa",1960,6.001,41.0180487804878
"37","COG","Congo, Rep.","Africa",1960,5.88,48.5816341463415
"38","COL","Colombia","The Americas",1960,6.807,56.716756097561
"39","COM","Comoros","Africa",1960,6.792,41.4424390243903
"40","CPV","Cabo Verde","Africa",1960,6.885,48.8564146341463
"41","CRI","Costa Rica","The Americas",1960,6.451,60.5761951219512
"42","CUB","Cuba","The Americas",1960,4.182,63.9046585365854
"43","CYP","Cyprus","Europe",1960,3.5,69.5939268292683
"44","CZE","Czech Republic","Europe",1960,2.09,70.3487804878049
"45","DEU","Germany","Europe",1960,2.37,69.3129512195122
"46","DJI","Djibouti","Africa",1960,6.461,44.0212682926829
"47","DNK","Denmark","Europe",1960,2.57,72.1765853658537
"48","DOM","Dominican Republic","The Americas",1960,7.555,51.8452682926829
"49","DZA","Algeria","Africa",1960,7.524,46.1351219512195
"50","ECU","Ecuador","The Americas",1960,6.721,53.215
"51","EGY","Egypt, Arab Rep.","Africa",1960,6.63,48.0137073170732
"52","ERI","Eritrea","Africa",1960,6.899,37.3629024390244
"53","ESP","Spain","Europe",1960,2.86,69.1092682926829
"54","EST","Estonia","Europe",1960,1.98,67.9059756097561
"55","ETH","Ethiopia","Africa",1960,6.88,38.4057073170732
"56","FIN","Finland","Europe",1960,2.72,68.819756097561
"57","FJI","Fiji","Oceania",1960,6.461,55.9584878048781
"58","FRA","France","Europe",1960,2.85,69.8682926829268
"59","FSM","Micronesia, Fed. Sts.","Oceania",1960,6.934,57.5865853658537
"60","GAB","Gabon","Africa",1960,4.384,39.5701219512195
"61","GBR","United Kingdom","Europe",1960,2.69,71.1268292682927
"62","GEO","Georgia","Asia",1960,2.964,63.4318536585366
"63","GHA","Ghana","Africa",1960,6.749,45.8314634146342
"64","GIN","Guinea","Africa",1960,6.114,34.8863902439024
"65","GMB","Gambia, The","Africa",1960,5.573,32.0422195121951
"66","GNB","Guinea-Bissau","Africa",1960,5.921,37.8404390243902
"67","GNQ","Equatorial Guinea","Africa",1960,5.505,36.7330487804878
"68","GRC","Greece","Europe",1960,2.23,68.1639024390244
"69","GRD","Grenada","The Americas",1960,6.743,59.8159268292683
"70","GTM","Guatemala","The Americas",1960,6.534,45.5316341463415
"71","GUM","Guam","Oceania",1960,6.052,61.2263414634146
"72","GUY","Guyana","The Americas",1960,5.754,60.2787317073171
"73","HKG","Hong Kong SAR, China","Asia",1960,5.162,66.9997073170732
"74","HND","Honduras","The Americas",1960,7.458,46.2883170731707
"75","HRV","Croatia","Europe",1960,2.332,64.6086585365854
"76","HTI","Haiti","The Americas",1960,6.324,42.1000975609756
"77","HUN","Hungary","Europe",1960,2.02,68.0031707317073
"78","IDN","Indonesia","Asia",1960,5.666,48.6403170731707
"79","IND","India","Asia",1960,5.906,41.1719512195122
"80","IRL","Ireland","Europe",1960,3.78,69.691756097561
"81","IRN","Iran, Islamic Rep.","Middle East",1960,6.927,44.945512195122
"82","IRQ","Iraq","Middle East",1960,6.252,48.0306829268293
"83","ISL","Iceland","Europe",1960,4.29,73.4286585365854
"84","ITA","Italy","Europe",1960,2.37,69.1239024390244
"85","JAM","Jamaica","The Americas",1960,5.419,64.1918292682927
"86","JOR","Jordan","Middle East",1960,7.687,52.6852682926829
"87","JPN","Japan","Asia",1960,2.001,67.6660975609756
"88","KAZ","Kazakhstan","Asia",1960,4.563,58.3675853658537
"89","KEN","Kenya","Africa",1960,7.946,46.3624146341463
"90","KGZ","Kyrgyz Republic","Asia",1960,5.166,56.1280731707317
"91","KHM","Cambodia","Asia",1960,6.967,41.2320243902439
"92","KIR","Kiribati","Oceania",1960,6.788,49.2159756097561
"93","KOR","Korea, Rep.","Asia",1960,6.155,53.0013170731707
"94","KWT","Kuwait","Middle East",1960,7.251,60.3479512195122
"95","LAO","Lao PDR","Asia",1960,5.961,43.2044634146342
"96","LBN","Lebanon","Middle East",1960,5.739,63.2801219512195
"97","LBR","Liberia","Africa",1960,6.406,34.7831707317073
"98","LBY","Libya","Africa",1960,7.202,42.6411951219512
"99","LCA","St. Lucia","The Americas",1960,6.967,57.303756097561
"100","LKA","Sri Lanka","Asia",1960,5.541,59.7471463414634
"101","LSO","Lesotho","Africa",1960,5.839,46.5107073170732
"102","LTU","Lithuania","Europe",1960,2.56,69.8473170731707
"103","LUX","Luxembourg","Europe",1960,2.29,68.4463902439024
"104","LVA","Latvia","Europe",1960,1.94,69.7868292682927
"105","MAC","Macao SAR, China","Asia",1960,4.945,64.6609268292683
"106","MAR","Morocco","Africa",1960,7.065,48.4466341463415
"107","MDA","Moldova","Europe",1960,3.328,61.8127804878049
"108","MDG","Madagascar","Africa",1960,7.3,39.9746829268293
"109","MDV","Maldives","Asia",1960,7.021,37.2686341463415
"110","MEX","Mexico","The Americas",1960,6.768,57.0656341463415
