"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"KobeBryant_FTA",819,768,742,564,541,583,451,626,21,241
"JoeJohnson_FTA",330,314,379,362,269,243,186,161,195,176
"LeBronJames_FTA",814,701,771,762,773,663,502,535,585,528
"CarmeloAnthony_FTA",709,568,590,468,612,605,367,512,541,237
"DwightHoward_FTA",598,666,897,849,816,916,572,721,638,271
"ChrisBosh_FTA",581,590,559,617,590,471,279,302,272,232
"ChrisPaul_FTA",465,357,390,524,190,384,302,323,345,321
"KevinDurant_FTA",256,256,448,524,840,675,501,750,805,171
"DerrickRose_FTA",205,205,205,250,338,555,239,0,32,187
"DwayneWade_FTA",803,535,467,771,702,652,297,425,258,370
