"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"KobeBryant_FT",696,667,623,483,439,483,381,525,18,196
"JoeJohnson_FT",261,235,316,299,220,195,158,132,159,141
"LeBronJames_FT",601,489,549,594,593,503,387,403,439,375
"CarmeloAnthony_FT",573,459,464,371,508,507,295,425,459,189
"DwightHoward_FT",356,390,529,504,483,546,281,355,349,143
"ChrisBosh_FT",474,463,472,504,470,384,229,241,223,179
"ChrisPaul_FT",394,292,332,455,161,337,260,286,295,289
"KevinDurant_FT",209,209,391,452,756,594,431,679,703,146
"DerrickRose_FT",146,146,146,197,259,476,194,0,27,152
"DwayneWade_FT",629,432,354,590,534,494,235,308,189,284
